category,text
TichCuc,Con này ok
TichCuc,Oki đó ae ...sóng mạnh
TichCuc,Rất OK
TichCuc,"Tôt, nhân viên tư vấn nhiệt tình"
TichCuc,Cho sản phẩm cửa hàng 5sao nhé....
TichCuc,Đẹp độc lạ
TichCuc,Máy rất tốt nha các bạn
TrungLap,Mình muốn đổi lên iPhone 14 được không shop
TrungLap,Này hk có sử dụng đc vân tay hả mn
TrungLap,Bên mình có thay màn hình do rơi vỡ k ạ
TrungLap,Thu lại máy ko shop
TrungLap,Muốn đổi máy lấy hãng khác được không vậy
TrungLap,"Toi moi mua. Tai sao ghi RAM 8,0 +4,0 G"
TrungLap,Mình mới mua k biết tgdd có thu lại k ta
TieuCuc,Mọi người không nên mua
TieuCuc,Camera rất tệ.pin ổn.ko nên mua.
TieuCuc,Pin quá kém
TieuCuc,Máy dùng thi thoảng đơ cảm ứng dùng quá chán
TieuCuc,Tản nhiệt ko tốt. Cam 50mpx j mai mờ câm
TieuCuc,"Camera trước chụp hình xấu quá, pin tuột nhanh"
TieuCuc,mới mua hồi tối 9999 sáng vào lại còn 93
