Bình luận tích cực,Bình luận tiêu cực
Con này ok,Mọi người không nên mua
Oki đó ae ...sóng mạnh,Camera rất tệ.pin ổn.ko nên mua.
Rất OK,Pin quá kém
"Tôt, nhân viên tư vấn nhiệt tình",Máy dùng thi thoảng đơ cảm ứng dùng quá chán
T cũng xài gần 1tháng r. Lướt êm mượt nên mua nha,Sao tiktok của mình không hiện cửa hàng vậy shop
Cho sản phẩm cửa hàng 5sao nhé....,Tản nhiệt ko tốt. Cam 50mpx j mai mờ câm
Đẹp độc lạ,"Camera trước chụp hình xấu quá, pin tuột nhanh"
Máy rất tốt nha các bạn,mới mua hồi tối 9999 sáng vào lại còn 93
Rất ổn,"Màn hình độ sáng thấp , hay bị nóng máy"
Dùng tốt so với giá tiền,Dùng tốt nhưng dễ vỡ kính mặt lưng
Không game thì mọi thứ ok trong tầm giá,Mới mua về Sài nhanh hết pin màn hình bị mờ lem
"Máy ok tốt, sẽ giới thiệu cho bạn bè.",Hình ảnh bị đứt khúc khi gọi zalo. Cảm thấy tệ
