Mô hình,Lớp,Precision,Recall,F1,Support
Naive Bayes,Tiêu cực,"0,831","0,842","0,837",392
,Trung lập,"0,605","0,347","0,441",75
,Tích cực,"0,848","0,915","0,880",341
SVM,Tiêu cực,"0,879","0,870","0,874",392
,Trung lập,"0,679","0,760","0,717",75
,Tích cực,"0,908","0,894","0,901",341
LSTM,Tiêu cực,"0,875","0,804","0,838",392
,Trung lập,"0,475","0,773","0,589",75
,Tích cực,"0,880","0,842","0,861",341
LSTM + PhoW2V,Tiêu cực,"0,887","0,798","0,840",392
,Trung lập,"0,625","0,800","0,702",75
,Tích cực,"0,855","0,900","0,877",341
